_time,EC,Humidity_percent,PH,Temperature_C,WaterTemp_C
2023-10-26 01:30:21.493000+00:00,0.54,62.3,7.3,23.5,21.5
2023-10-26 01:35:29.569000+00:00,0.54,62.4,7.3,23.6,21.44
2023-10-26 01:40:38.894000+00:00,0.54,62.7,7.29,23.5,21.5
2023-10-26 01:45:50.172000+00:00,0.57,63.3,7.3,23.5,21.5
2023-10-26 01:50:58.230000+00:00,0.57,63.1,7.27,23.4,21.5
2023-10-26 01:56:06.959000+00:00,0.57,62.9,7.28,23.5,21.5
2023-10-26 02:01:15.226000+00:00,0.57,63.3,7.29,23.5,21.5
2023-10-26 02:06:23.929000+00:00,0.54,63,7.28,23.5,21.5
2023-10-26 02:11:35.837000+00:00,0.57,63.9,7.29,23.3,21.5
2023-10-26 02:16:45.223000+00:00,0.54,64.1,7.28,23.3,21.5
2023-10-26 02:21:53.769000+00:00,0.57,63.7,7.29,23.3,21.44
2023-10-26 02:27:02.260000+00:00,0.57,63.5,7.29,23.4,21.5
2023-10-26 02:32:10.203000+00:00,0.57,62.9,7.27,23.4,21.5
2023-10-26 02:37:17.331000+00:00,0.57,62.4,7.27,23.1,21.44
2023-10-26 02:42:28.712000+00:00,0.61,64.1,7.26,23.1,21.44
2023-10-26 02:47:36.619000+00:00,0.57,64,7.27,23.1,21.44
2023-10-26 02:52:49.229000+00:00,0.57,65,7.26,23.1,21.44
2023-10-26 02:57:56.466000+00:00,0.57,64.6,7.26,23.2,21.44
2023-10-26 03:03:08.913000+00:00,0.57,64.3,7.25,23.2,21.44
2023-10-26 03:08:16.837000+00:00,0.57,64.4,7.27,23.2,21.44
2023-10-26 03:13:24.424000+00:00,0.57,64.6,7.26,23.1,21.37
2023-10-26 03:18:31.508000+00:00,0.57,64.6,7.26,23.1,21.44
2023-10-26 03:23:43.461000+00:00,0.57,64.7,7.25,23.1,21.5
2023-10-26 03:28:50.658000+00:00,0.61,64.2,7.24,23.2,21.44
2023-10-26 03:33:57.936000+00:00,0.61,64,7.24,23.1,21.44
2023-10-26 03:39:06.304000+00:00,0.57,64.2,7.24,23.2,21.44
2023-10-26 03:44:18.501000+00:00,0.57,64.3,7.24,23.1,21.44
2023-10-26 03:49:25.892000+00:00,0.64,64.3,7.23,23.1,21.44
2023-10-26 03:54:33.783000+00:00,0.61,64.5,7.23,23.1,21.37
2023-10-26 03:59:41.959000+00:00,0.57,64.5,7.22,23.1,21.44
2023-10-26 04:04:49.715000+00:00,0.61,64.6,7.22,23.1,21.37
2023-10-26 04:09:57.569000+00:00,0.61,64.5,7.22,23.1,21.37
